Parameter,A,B,C,D,E,F,G,H,I,J,K,L,M
Score,cos,cos,cos,cos,cos,cos,cos,cos,cos,cos,MS2DS,MS2DS,MS2DS
Tolerance,0.1,0.1,0.1,0.1,0.05,0.005,0.0015,0.001,0.001,0.001,NA,NA,NA
Minimum score,0.5,0.6,0.6,0.7,0.5,0.6,0.5,0.5,0.6,0.7,0.8,0.85,0.9
Max connections from node,10,10,20,10,10,10,10,10,10,10,10,10,10
Number of nodes,647,363,363,182,406,260,395,385,235,128,783,474,236
Number of edges,1053,409,413,139,569,239,516,480,193,92,1499,745,288
Avg. number of neighbors,5.736,6.043,6.213,3,6.393,3.92,5.057,4.68,2.769,2,4.558,8.898,8.357
Network diameter,17,7,7,6,9,9,11,11,7,3,18,7,6
Network radius,9,4,4,3,5,5,6,6,4,2,9,4,3
Characteristic path length,7.439,2.970,2.938,2.667,3.45,3.563,3.89,4.066,3.295,1.7,6.432,2.807,2.246
Clustering coefficient,0.438,0.452,0.46,0.497,0.544,0.578,0.55,0.587,0.492,0.467,0.434,0.576,0.673
Network density,0.027,0.131,0.135,0.242,0.116,0.163,0.097,0.096,0.231,0.5,0.024,0.185,0.31
Network heterogeneity,0.923,0.683,0.715,0.415,0.618,0.505,0.615,0.593,0.379,0.316,0.744,0.548,0.364
Network centralization,0.121,0.226,0.245,0.255,0.181,0.185,0.159,0.156,0.22,0.417,0.093,0.198,0.145
Connected components,102,105,105,69,97,85,95,94,84,51,103,107,76
